year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2009,130,130,Argyll & Bute,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),477.5,
2009,150,150,Clackmannanshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,150,150,Clackmannanshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"2,910",
2009,150,150,Clackmannanshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.9,
2009,150,150,Clackmannanshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),244.6,
2009,170,170,Dumfries & Galloway,All publicly funded schools,Secondary,trend,Average Class,0,
2009,170,170,Dumfries & Galloway,All publicly funded schools,Secondary,trend,Pupil Numbers,"9,378",
2009,170,170,Dumfries & Galloway,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.8,
2009,170,170,Dumfries & Galloway,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),793.8,
2009,180,180,Dundee City,All publicly funded schools,Secondary,trend,Average Class,0,
2009,180,180,Dundee City,All publicly funded schools,Secondary,trend,Pupil Numbers,"7,807",
2009,180,180,Dundee City,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,10.2,
2009,180,180,Dundee City,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),765.4,
2009,190,190,East Ayrshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,190,190,East Ayrshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"7,390",
2009,190,190,East Ayrshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12,
2009,190,190,East Ayrshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),613.3,
2009,200,200,East Dunbartonshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,200,200,East Dunbartonshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"7,663",
2009,200,200,East Dunbartonshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.4,
2009,200,200,East Dunbartonshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),616.9,
2009,210,210,East Lothian,All publicly funded schools,Secondary,trend,Average Class,0,
2009,210,210,East Lothian,All publicly funded schools,Secondary,trend,Pupil Numbers,"5,831",
2009,210,210,East Lothian,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12,
2009,210,210,East Lothian,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),486.1,
2009,220,220,East Renfrewshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,220,220,East Renfrewshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"7,928",
2009,220,220,East Renfrewshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12,
2009,220,220,East Renfrewshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),658.3,
2009,230,230,Edinburgh City,All publicly funded schools,Secondary,trend,Average Class,0,
2009,230,230,Edinburgh City,All publicly funded schools,Secondary,trend,Pupil Numbers,"19,103",
2009,230,230,Edinburgh City,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.5,
2009,230,230,Edinburgh City,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),"1,527.9",
2009,235,235,Na h-Eileanan Siar,All publicly funded schools,Secondary,trend,Average Class,0,
2009,235,235,Na h-Eileanan Siar,All publicly funded schools,Secondary,trend,Pupil Numbers,"1,762",
2009,235,235,Na h-Eileanan Siar,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,8.5,
2009,235,235,Na h-Eileanan Siar,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),206.1,
2009,240,240,Falkirk,All publicly funded schools,Secondary,trend,Average Class,0,
2009,240,240,Falkirk,All publicly funded schools,Secondary,trend,Pupil Numbers,"8,955",
2009,240,240,Falkirk,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.9,
2009,240,240,Falkirk,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),750.2,
2009,250,250,Fife,All publicly funded schools,Secondary,trend,Average Class,0,
2009,250,250,Fife,All publicly funded schools,Secondary,trend,Pupil Numbers,"21,236",
2009,250,250,Fife,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.4,
2009,250,250,Fife,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),"1,708.4",
2009,260,260,Glasgow City,All publicly funded schools,Secondary,trend,Average Class,0,
2009,260,260,Glasgow City,All publicly funded schools,Secondary,trend,Pupil Numbers,"26,983",
2009,260,260,Glasgow City,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.2,
2009,260,260,Glasgow City,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),"2,214.6",
2009,270,270,Highland,All publicly funded schools,Secondary,trend,Average Class,0,
2009,270,270,Highland,All publicly funded schools,Secondary,trend,Pupil Numbers,"14,742",
2009,270,270,Highland,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11,
2009,270,270,Highland,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),"1,342.4",
2009,280,280,Inverclyde,All publicly funded schools,Secondary,trend,Average Class,0,
2009,280,280,Inverclyde,All publicly funded schools,Secondary,trend,Pupil Numbers,"4,954",
2009,280,280,Inverclyde,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.1,
2009,280,280,Inverclyde,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),409.9,
2009,290,290,Midlothian,All publicly funded schools,Secondary,trend,Average Class,0,
2009,290,290,Midlothian,All publicly funded schools,Secondary,trend,Pupil Numbers,"5,284",
2009,290,290,Midlothian,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.9,
2009,290,290,Midlothian,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),444.8,
2009,300,300,Moray,All publicly funded schools,Secondary,trend,Average Class,0,
2009,300,300,Moray,All publicly funded schools,Secondary,trend,Pupil Numbers,"5,801",
2009,300,300,Moray,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.6,
2009,300,300,Moray,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),498.7,
2009,310,310,North Ayrshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,310,310,North Ayrshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"8,472",
2009,310,310,North Ayrshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.5,
2009,310,310,North Ayrshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),677.6,
2009,320,320,North Lanarkshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,320,320,North Lanarkshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"21,486",
2009,320,320,North Lanarkshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.2,
2009,320,320,North Lanarkshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),"1,762.2",
2009,330,330,Orkney Islands,All publicly funded schools,Secondary,trend,Average Class,0,
2009,330,330,Orkney Islands,All publicly funded schools,Secondary,trend,Pupil Numbers,"1,386",
2009,330,330,Orkney Islands,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,10.2,
2009,330,330,Orkney Islands,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),135.9,
2009,340,340,Perth & Kinross,All publicly funded schools,Secondary,trend,Average Class,0,
2009,340,340,Perth & Kinross,All publicly funded schools,Secondary,trend,Pupil Numbers,"7,685",
2009,340,340,Perth & Kinross,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.8,
2009,340,340,Perth & Kinross,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),650.3,
2009,350,350,Renfrewshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,350,350,Renfrewshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"10,877",
2009,350,350,Renfrewshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,13.5,
2009,350,350,Renfrewshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),807.2,
2009,355,355,Scottish Borders,All publicly funded schools,Secondary,trend,Average Class,0,
2009,355,355,Scottish Borders,All publicly funded schools,Secondary,trend,Pupil Numbers,"6,943",
2009,355,355,Scottish Borders,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.9,
2009,355,355,Scottish Borders,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),584.9,
2009,360,360,Shetland Islands,All publicly funded schools,Secondary,trend,Average Class,0,
2009,360,360,Shetland Islands,All publicly funded schools,Secondary,trend,Pupil Numbers,"1,537",
2009,360,360,Shetland Islands,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,7.3,
2009,360,360,Shetland Islands,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),209.3,
2009,370,370,South Ayrshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,370,370,South Ayrshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"6,836",
2009,370,370,South Ayrshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.5,
2009,370,370,South Ayrshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),548.3,
2009,380,380,South Lanarkshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,380,380,South Lanarkshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"19,574",
2009,380,380,South Lanarkshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.3,
2009,380,380,South Lanarkshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),"1,585.5",
2009,390,390,Stirling,All publicly funded schools,Secondary,trend,Average Class,0,
2009,390,390,Stirling,All publicly funded schools,Secondary,trend,Pupil Numbers,"6,043",
2009,390,390,Stirling,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.1,
2009,390,390,Stirling,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),499.5,
2009,395,395,West Dunbartonshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,395,395,West Dunbartonshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"5,789",
2009,395,395,West Dunbartonshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.1,
2009,395,395,West Dunbartonshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),476.7,
2009,400,400,West Lothian,All publicly funded schools,Secondary,trend,Average Class,0,
2009,400,400,West Lothian,All publicly funded schools,Secondary,trend,Pupil Numbers,"11,104",
2009,400,400,West Lothian,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,12.3,
2009,400,400,West Lothian,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),905,
2009,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2009,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,942,
2009,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,11.6,
2009,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),81.2,
2009,5102138,270,Highland,Wick High School,Secondary,trend,Average Class,0,
2009,5102138,270,Highland,Wick High School,Secondary,trend,Pupil Numbers,801,
2009,5102138,270,Highland,Wick High School,Secondary,trend,Pupil Teacher Ratio,11.9,
2009,5102138,270,Highland,Wick High School,Secondary,trend,Teacher Numbers (FTE),67.5,
2009,5109434,270,Highland,Dornoch Academy,Secondary,trend,Average Class,0,
2009,5109434,270,Highland,Dornoch Academy,Secondary,trend,Pupil Numbers,290,
2009,5109434,270,Highland,Dornoch Academy,Secondary,trend,Pupil Teacher Ratio,11.7,
2009,5109434,270,Highland,Dornoch Academy,Secondary,trend,Teacher Numbers (FTE),24.8,
2009,5109531,270,Highland,Golspie High School,Secondary,trend,Average Class,0,
2009,5109531,270,Highland,Golspie High School,Secondary,trend,Pupil Numbers,310,
2009,5109531,270,Highland,Golspie High School,Secondary,trend,Pupil Teacher Ratio,9.8,
2009,5109531,270,Highland,Golspie High School,Secondary,trend,Teacher Numbers (FTE),31.7,
2009,5110432,270,Highland,Farr High School,Secondary,trend,Average Class,0,
2009,5110432,270,Highland,Farr High School,Secondary,trend,Pupil Numbers,95,
2009,5110432,270,Highland,Farr High School,Secondary,trend,Pupil Teacher Ratio,6.8,
2009,5110432,270,Highland,Farr High School,Secondary,trend,Teacher Numbers (FTE),14,
2009,5119030,270,Highland,Gairloch High School,Secondary,trend,Average Class,0,
2009,5119030,270,Highland,Gairloch High School,Secondary,trend,Pupil Numbers,184,
2009,5119030,270,Highland,Gairloch High School,Secondary,trend,Pupil Teacher Ratio,7,
2009,5119030,270,Highland,Gairloch High School,Secondary,trend,Teacher Numbers (FTE),26.3,
2009,5119138,270,Highland,Dingwall Academy,Secondary,trend,Average Class,0,
2009,5119138,270,Highland,Dingwall Academy,Secondary,trend,Pupil Numbers,"1,001",
2009,5119138,270,Highland,Dingwall Academy,Secondary,trend,Pupil Teacher Ratio,10.7,
2009,5119138,270,Highland,Dingwall Academy,Secondary,trend,Teacher Numbers (FTE),93.3,
2009,5119332,270,Highland,Fortrose Academy,Secondary,trend,Average Class,0,
2009,5119332,270,Highland,Fortrose Academy,Secondary,trend,Pupil Numbers,753,
2009,5119332,270,Highland,Fortrose Academy,Secondary,trend,Pupil Teacher Ratio,12.4,
2009,5119332,270,Highland,Fortrose Academy,Secondary,trend,Teacher Numbers (FTE),60.7,
2009,5119634,270,Highland,Invergordon Academy,Secondary,trend,Average Class,0,
2009,5119634,270,Highland,Invergordon Academy,Secondary,trend,Pupil Numbers,447,
2009,5119634,270,Highland,Invergordon Academy,Secondary,trend,Pupil Teacher Ratio,11.9,
2009,5119634,270,Highland,Invergordon Academy,Secondary,trend,Teacher Numbers (FTE),37.6,
2009,5119839,270,Highland,Tain Royal Academy,Secondary,trend,Average Class,0,
2009,5119839,270,Highland,Tain Royal Academy,Secondary,trend,Pupil Numbers,544,
2009,5119839,270,Highland,Tain Royal Academy,Secondary,trend,Pupil Teacher Ratio,10.9,
2009,5119839,270,Highland,Tain Royal Academy,Secondary,trend,Teacher Numbers (FTE),50,
2009,5119936,270,Highland,Ullapool High School,Secondary,trend,Average Class,0,
2009,5119936,270,Highland,Ullapool High School,Secondary,trend,Pupil Numbers,250,
2009,5119936,270,Highland,Ullapool High School,Secondary,trend,Pupil Teacher Ratio,8.8,
2009,5119936,270,Highland,Ullapool High School,Secondary,trend,Teacher Numbers (FTE),28.5,
2009,5120136,270,Highland,Alness Academy,Secondary,trend,Average Class,0,
2009,5120136,270,Highland,Alness Academy,Secondary,trend,Pupil Numbers,500,
2009,5120136,270,Highland,Alness Academy,Secondary,trend,Pupil Teacher Ratio,10,
2009,5120136,270,Highland,Alness Academy,Secondary,trend,Teacher Numbers (FTE),50.2,
2009,5123437,270,Highland,Plockton High School,Secondary,trend,Average Class,0,
2009,5123437,270,Highland,Plockton High School,Secondary,trend,Pupil Numbers,295,
2009,5123437,270,Highland,Plockton High School,Secondary,trend,Pupil Teacher Ratio,8.7,
2009,5123437,270,Highland,Plockton High School,Secondary,trend,Teacher Numbers (FTE),34.1,
2009,5128234,270,Highland,Portree High School,Secondary,trend,Average Class,0,
2009,5128234,270,Highland,Portree High School,Secondary,trend,Pupil Numbers,617,
2009,5128234,270,Highland,Portree High School,Secondary,trend,Pupil Teacher Ratio,10.3,
2009,5128234,270,Highland,Portree High School,Secondary,trend,Teacher Numbers (FTE),59.8,
2009,5130239,270,Highland,Ardnamurchan High School,Secondary,trend,Average Class,0,
2009,5130239,270,Highland,Ardnamurchan High School,Secondary,trend,Pupil Numbers,126,
2009,5130239,270,Highland,Ardnamurchan High School,Secondary,trend,Pupil Teacher Ratio,7.2,
2009,5130239,270,Highland,Ardnamurchan High School,Secondary,trend,Teacher Numbers (FTE),17.4,
2009,5135532,270,Highland,Kinlochleven High School,Secondary,trend,Average Class,0,
2009,5135532,270,Highland,Kinlochleven High School,Secondary,trend,Pupil Numbers,154,
2009,5135532,270,Highland,Kinlochleven High School,Secondary,trend,Pupil Teacher Ratio,7.9,
2009,5135532,270,Highland,Kinlochleven High School,Secondary,trend,Teacher Numbers (FTE),19.6,
2009,5135834,270,Highland,Mallaig High School,Secondary,trend,Average Class,0,
2009,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Numbers,135,
2009,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Teacher Ratio,6.8,
2009,5135834,270,Highland,Mallaig High School,Secondary,trend,Teacher Numbers (FTE),20,
2009,5135931,270,Highland,Lochaber High School,Secondary,trend,Average Class,0,
2009,5135931,270,Highland,Lochaber High School,Secondary,trend,Pupil Numbers,861,
2009,5135931,270,Highland,Lochaber High School,Secondary,trend,Pupil Teacher Ratio,11.9,
2009,5135931,270,Highland,Lochaber High School,Secondary,trend,Teacher Numbers (FTE),72.2,
2009,5142431,270,Highland,Kilchuimen Academy,Secondary,trend,Average Class,0,
2009,5142431,270,Highland,Kilchuimen Academy,Secondary,trend,Pupil Numbers,63,
2009,5142431,270,Highland,Kilchuimen Academy,Secondary,trend,Pupil Teacher Ratio,4.9,
2009,5142431,270,Highland,Kilchuimen Academy,Secondary,trend,Teacher Numbers (FTE),12.8,
2009,5142539,270,Highland,Glen Urquhart High School,Secondary,trend,Average Class,0,
2009,5142539,270,Highland,Glen Urquhart High School,Secondary,trend,Pupil Numbers,238,
2009,5142539,270,Highland,Glen Urquhart High School,Secondary,trend,Pupil Teacher Ratio,10.4,
2009,5142539,270,Highland,Glen Urquhart High School,Secondary,trend,Teacher Numbers (FTE),23,
2009,5142636,270,Highland,Inverness High School,Secondary,trend,Average Class,0,
2009,5142636,270,Highland,Inverness High School,Secondary,trend,Pupil Numbers,452,
2009,5142636,270,Highland,Inverness High School,Secondary,trend,Pupil Teacher Ratio,11,
2009,5142636,270,Highland,Inverness High School,Secondary,trend,Teacher Numbers (FTE),41.1,
2009,5142830,270,Highland,Millburn Academy,Secondary,trend,Average Class,0,
2009,5142830,270,Highland,Millburn Academy,Secondary,trend,Pupil Numbers,"1,065",
2009,5142830,270,Highland,Millburn Academy,Secondary,trend,Pupil Teacher Ratio,13,
2009,5142830,270,Highland,Millburn Academy,Secondary,trend,Teacher Numbers (FTE),82.1,
2009,5142938,270,Highland,Inverness Royal Academy,Secondary,trend,Average Class,0,
2009,5142938,270,Highland,Inverness Royal Academy,Secondary,trend,Pupil Numbers,966,
2009,5142938,270,Highland,Inverness Royal Academy,Secondary,trend,Pupil Teacher Ratio,12.5,
2009,5142938,270,Highland,Inverness Royal Academy,Secondary,trend,Teacher Numbers (FTE),77.2,
2009,5143837,270,Highland,Charleston Academy,Secondary,trend,Average Class,0,
2009,5143837,270,Highland,Charleston Academy,Secondary,trend,Pupil Numbers,819,
2009,5143837,270,Highland,Charleston Academy,Secondary,trend,Pupil Teacher Ratio,12,
2009,5143837,270,Highland,Charleston Academy,Secondary,trend,Teacher Numbers (FTE),68.1,
2009,5143934,270,Highland,Culloden Academy,Secondary,trend,Average Class,0,
2009,5143934,270,Highland,Culloden Academy,Secondary,trend,Pupil Numbers,"1,099",
2009,5143934,270,Highland,Culloden Academy,Secondary,trend,Pupil Teacher Ratio,12.1,
2009,5143934,270,Highland,Culloden Academy,Secondary,trend,Teacher Numbers (FTE),90.5,
2009,5146038,270,Highland,Kingussie High School,Secondary,trend,Average Class,0,
2009,5146038,270,Highland,Kingussie High School,Secondary,trend,Pupil Numbers,446,
2009,5146038,270,Highland,Kingussie High School,Secondary,trend,Pupil Teacher Ratio,10.9,
2009,5146038,270,Highland,Kingussie High School,Secondary,trend,Teacher Numbers (FTE),40.8,
2009,5150132,270,Highland,Grantown Grammar School,Secondary,trend,Average Class,0,
2009,5150132,270,Highland,Grantown Grammar School,Secondary,trend,Pupil Numbers,413,
2009,5150132,270,Highland,Grantown Grammar School,Secondary,trend,Pupil Teacher Ratio,10.7,
2009,5150132,270,Highland,Grantown Grammar School,Secondary,trend,Teacher Numbers (FTE),38.6,
2009,5153131,270,Highland,Nairn Academy,Secondary,trend,Average Class,0,
2009,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Numbers,809,
2009,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Teacher Ratio,12.4,
2009,5153131,270,Highland,Nairn Academy,Secondary,trend,Teacher Numbers (FTE),65,
2009,5153239,270,Highland,Kinlochbervie High School,Secondary,trend,Average Class,0,
2009,5153239,270,Highland,Kinlochbervie High School,Secondary,trend,Pupil Numbers,65,
2009,5153239,270,Highland,Kinlochbervie High School,Secondary,trend,Pupil Teacher Ratio,4.7,
2009,5153239,270,Highland,Kinlochbervie High School,Secondary,trend,Teacher Numbers (FTE),13.8,
2009,5202736,300,Moray,Elgin Academy,Secondary,trend,Average Class,0,
2009,5202736,300,Moray,Elgin Academy,Secondary,trend,Pupil Numbers,972,
2009,5202736,300,Moray,Elgin Academy,Secondary,trend,Pupil Teacher Ratio,12.3,
2009,5202736,300,Moray,Elgin Academy,Secondary,trend,Teacher Numbers (FTE),78.9,
2009,5202930,300,Moray,Milne's High School,Secondary,trend,Average Class,0,
2009,5202930,300,Moray,Milne's High School,Secondary,trend,Pupil Numbers,559,
2009,5202930,300,Moray,Milne's High School,Secondary,trend,Pupil Teacher Ratio,11.2,
2009,5202930,300,Moray,Milne's High School,Secondary,trend,Teacher Numbers (FTE),50,
2009,5203031,300,Moray,Forres Academy,Secondary,trend,Average Class,0,
2009,5203031,300,Moray,Forres Academy,Secondary,trend,Pupil Numbers,"1,012",
2009,5203031,300,Moray,Forres Academy,Secondary,trend,Pupil Teacher Ratio,11.8,
2009,5203031,300,Moray,Forres Academy,Secondary,trend,Teacher Numbers (FTE),85.5,
2009,5203139,300,Moray,Lossiemouth High School,Secondary,trend,Average Class,0,
2009,5203139,300,Moray,Lossiemouth High School,Secondary,trend,Pupil Numbers,692,
2009,5203139,300,Moray,Lossiemouth High School,Secondary,trend,Pupil Teacher Ratio,11.7,
2009,5203139,300,Moray,Lossiemouth High School,Secondary,trend,Teacher Numbers (FTE),59.3,
2009,5208734,300,Moray,Buckie High School,Secondary,trend,Average Class,0,
2009,5208734,300,Moray,Buckie High School,Secondary,trend,Pupil Numbers,897,
2009,5208734,300,Moray,Buckie High School,Secondary,trend,Pupil Teacher Ratio,11.9,
2009,5208734,300,Moray,Buckie High School,Secondary,trend,Teacher Numbers (FTE),75.3,
2009,5208831,300,Moray,Keith Grammar School,Secondary,trend,Average Class,0,
2009,5208831,300,Moray,Keith Grammar School,Secondary,trend,Pupil Numbers,496,
2009,5208831,300,Moray,Keith Grammar School,Secondary,trend,Pupil Teacher Ratio,11.4,
2009,5208831,300,Moray,Keith Grammar School,Secondary,trend,Teacher Numbers (FTE),43.4,
2009,5208939,300,Moray,Speyside High School,Secondary,trend,Average Class,0,
2009,5208939,300,Moray,Speyside High School,Secondary,trend,Pupil Numbers,541,
2009,5208939,300,Moray,Speyside High School,Secondary,trend,Pupil Teacher Ratio,11.3,
2009,5208939,300,Moray,Speyside High School,Secondary,trend,Teacher Numbers (FTE),47.8,
2009,5210038,300,Moray,Elgin High School,Secondary,trend,Average Class,0,
2009,5210038,300,Moray,Elgin High School,Secondary,trend,Pupil Numbers,632,
2009,5210038,300,Moray,Elgin High School,Secondary,trend,Pupil Teacher Ratio,10.8,
2009,5210038,300,Moray,Elgin High School,Secondary,trend,Teacher Numbers (FTE),58.6,
2009,5213231,110,Aberdeenshire,Banff Academy,Secondary,trend,Average Class,0,
2009,5213231,110,Aberdeenshire,Banff Academy,Secondary,trend,Pupil Numbers,991,
2009,5213231,110,Aberdeenshire,Banff Academy,Secondary,trend,Pupil Teacher Ratio,11.1,
2009,5213231,110,Aberdeenshire,Banff Academy,Secondary,trend,Teacher Numbers (FTE),89.2,
2009,5219736,110,Aberdeenshire,Fraserburgh Academy,Secondary,trend,Average Class,0,
2009,5219736,110,Aberdeenshire,Fraserburgh Academy,Secondary,trend,Pupil Numbers,"1,237",
2009,5219736,110,Aberdeenshire,Fraserburgh Academy,Secondary,trend,Pupil Teacher Ratio,11.5,
2009,5219736,110,Aberdeenshire,Fraserburgh Academy,Secondary,trend,Teacher Numbers (FTE),107.9,
2009,5220734,110,Aberdeenshire,Peterhead Academy,Secondary,trend,Average Class,0,
